rater,est.x,est.y
1,0.966778394361883,0.8491364841543079
2,0.9722601291733642,0.8533912572801594
3,0.9541578263461284,0.824982020228795
4,0.9308010271036682,0.689982113732988
5,0.9685099103525301,0.8436158828987114
6,0.9642311247924242,0.8589057591057894
7,0.9761462891679068,0.7810631095337279
8,0.9325520960863936,0.7175111689253084
9,0.9435773943877444,0.6659062145884298
10,0.9491540726522707,0.5298319869529914
11,0.9404537382407332,0.7802172340209853
12,0.9790126140418685,0.8930620510582294
13,0.9594227385582411,0.799657642739049
14,0.9773558434865266,0.8663697431648726
15,0.9787648469699698,0.8997763379082289
16,0.9751645970577671,0.8731836146365339
17,0.9828299478281437,0.8443982532733728
18,0.9738680700370427,0.8564819772359412
19,0.9789437643428457,0.8883984755937366
20,0.9772503819882349,0.77983606713295
